input_name;processor;operation;input_width;input_height;output_width;output_height;batch_size;time
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8187
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8118
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8609
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;7900
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8290
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8176
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;7869
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;7876
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;7827
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;7769
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;7762
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;7708
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;13287
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12786
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12947
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;13063
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12826
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12755
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12888
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12476
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;13059
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12687
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12823
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12707
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;13187
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;13133
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12221
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;13136
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12615
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12622
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12608
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;13037
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;19497
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;20295
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;20056
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;20221
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;19598
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;20887
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;21275
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;19656
